accession	archive_or_file	name	time	size_bytes	type	url
GSE231559	File	GSM7290768_SC10_29N_barcodes.tsv.gz	04/20/2023 15:12:40	42057	TSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290768/suppl/GSM7290768_SC10_29N_barcodes.tsv.gz
GSE231559	File	GSM7290768_SC10_29N_features.tsv.gz	04/20/2023 15:12:40	304728	TSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290768/suppl/GSM7290768_SC10_29N_features.tsv.gz
GSE231559	File	GSM7290768_SC10_29N_matrix.mtx.gz	04/20/2023 15:12:41	16544568	MTX	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290768/suppl/GSM7290768_SC10_29N_matrix.mtx.gz
GSE231559	File	GSM7290769_SC10_30T_barcodes.tsv.gz	04/20/2023 15:12:41	25539	TSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290769/suppl/GSM7290769_SC10_30T_barcodes.tsv.gz
GSE231559	File	GSM7290769_SC10_30T_features.tsv.gz	04/20/2023 15:12:41	304728	TSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290769/suppl/GSM7290769_SC10_30T_features.tsv.gz
GSE231559	File	GSM7290769_SC10_30T_matrix.mtx.gz	04/20/2023 15:12:41	18108745	MTX	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290769/suppl/GSM7290769_SC10_30T_matrix.mtx.gz
GSE231559	File	GSM7290770_SC10_35N_barcodes.tsv.gz	04/20/2023 15:12:41	18341	TSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290770/suppl/GSM7290770_SC10_35N_barcodes.tsv.gz
GSE231559	File	GSM7290770_SC10_35N_features.tsv.gz	04/20/2023 15:12:41	304728	TSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290770/suppl/GSM7290770_SC10_35N_features.tsv.gz
GSE231559	File	GSM7290770_SC10_35N_matrix.mtx.gz	04/20/2023 15:12:41	17431264	MTX	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290770/suppl/GSM7290770_SC10_35N_matrix.mtx.gz
GSE231559	File	GSM7290771_SC10_37N_barcodes.tsv.gz	04/20/2023 15:12:41	31223	TSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290771/suppl/GSM7290771_SC10_37N_barcodes.tsv.gz
GSE231559	File	GSM7290771_SC10_37N_features.tsv.gz	04/20/2023 15:12:41	304728	TSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290771/suppl/GSM7290771_SC10_37N_features.tsv.gz
GSE231559	File	GSM7290771_SC10_37N_matrix.mtx.gz	04/20/2023 15:12:41	24652016	MTX	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290771/suppl/GSM7290771_SC10_37N_matrix.mtx.gz
GSE231559	File	GSM7290772_SC10_38T_barcodes.tsv.gz	04/20/2023 15:12:41	45906	TSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290772/suppl/GSM7290772_SC10_38T_barcodes.tsv.gz
GSE231559	File	GSM7290772_SC10_38T_features.tsv.gz	04/20/2023 15:12:41	304728	TSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290772/suppl/GSM7290772_SC10_38T_features.tsv.gz
GSE231559	File	GSM7290772_SC10_38T_matrix.mtx.gz	04/20/2023 15:12:41	41172284	MTX	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290772/suppl/GSM7290772_SC10_38T_matrix.mtx.gz
GSE231559	File	GSM7290773_SC10_5_barcodes.tsv.gz	04/20/2023 15:12:41	18255	TSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290773/suppl/GSM7290773_SC10_5_barcodes.tsv.gz
GSE231559	File	GSM7290773_SC10_5_features.tsv.gz	04/20/2023 15:12:41	304728	TSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290773/suppl/GSM7290773_SC10_5_features.tsv.gz
GSE231559	File	GSM7290773_SC10_5_matrix.mtx.gz	04/20/2023 15:12:41	31975080	MTX	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290773/suppl/GSM7290773_SC10_5_matrix.mtx.gz
GSE231559	File	GSM7290774_SC10_7_barcodes.tsv.gz	04/20/2023 15:12:41	25952	TSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290774/suppl/GSM7290774_SC10_7_barcodes.tsv.gz
GSE231559	File	GSM7290774_SC10_7_features.tsv.gz	04/20/2023 15:12:41	304728	TSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290774/suppl/GSM7290774_SC10_7_features.tsv.gz
GSE231559	File	GSM7290774_SC10_7_matrix.mtx.gz	04/20/2023 15:12:41	35178851	MTX	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290774/suppl/GSM7290774_SC10_7_matrix.mtx.gz
GSE231559	File	GSM7290775_SC10_8_barcodes.tsv.gz	04/20/2023 15:12:41	31872	TSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290775/suppl/GSM7290775_SC10_8_barcodes.tsv.gz
GSE231559	File	GSM7290775_SC10_8_features.tsv.gz	04/20/2023 15:12:41	304728	TSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290775/suppl/GSM7290775_SC10_8_features.tsv.gz
GSE231559	File	GSM7290775_SC10_8_matrix.mtx.gz	04/20/2023 15:12:41	36158467	MTX	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290775/suppl/GSM7290775_SC10_8_matrix.mtx.gz
GSE231559	File	GSM7290776_SC143_17_barcodes.tsv.gz	04/24/2023 17:42:55	7535	TSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290776/suppl/GSM7290776_SC143_17_barcodes.tsv.gz
GSE231559	File	GSM7290776_SC143_17_features.tsv.gz	04/24/2023 17:42:55	304728	TSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290776/suppl/GSM7290776_SC143_17_features.tsv.gz
GSE231559	File	GSM7290776_SC143_17_matrix.mtx.gz	04/24/2023 17:42:55	8700862	MTX	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290776/suppl/GSM7290776_SC143_17_matrix.mtx.gz
GSE231559	File	GSM7290777_SC143_7_barcodes.tsv.gz	04/24/2023 17:42:55	23621	TSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290777/suppl/GSM7290777_SC143_7_barcodes.tsv.gz
GSE231559	File	GSM7290777_SC143_7_features.tsv.gz	04/24/2023 17:42:55	304728	TSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290777/suppl/GSM7290777_SC143_7_features.tsv.gz
GSE231559	File	GSM7290777_SC143_7_matrix.mtx.gz	04/24/2023 17:42:55	26900476	MTX	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290777/suppl/GSM7290777_SC143_7_matrix.mtx.gz
GSE231559	File	GSM7290778_SC173_1_barcodes.tsv.gz	04/19/2023 15:52:21	17079	TSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290778/suppl/GSM7290778_SC173_1_barcodes.tsv.gz
GSE231559	File	GSM7290778_SC173_1_features.tsv.gz	04/19/2023 15:52:21	333437	TSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290778/suppl/GSM7290778_SC173_1_features.tsv.gz
GSE231559	File	GSM7290778_SC173_1_matrix.mtx.gz	04/19/2023 15:52:21	13954565	MTX	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290778/suppl/GSM7290778_SC173_1_matrix.mtx.gz
GSE231559	File	GSM7290779_SC173_2_barcodes.tsv.gz	04/20/2023 14:37:02	9301	TSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290779/suppl/GSM7290779_SC173_2_barcodes.tsv.gz
GSE231559	File	GSM7290779_SC173_2_features.tsv.gz	04/20/2023 14:37:02	333437	TSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290779/suppl/GSM7290779_SC173_2_features.tsv.gz
GSE231559	File	GSM7290779_SC173_2_matrix.mtx.gz	04/20/2023 14:37:01	9892793	MTX	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290779/suppl/GSM7290779_SC173_2_matrix.mtx.gz
GSE231559	File	GSM7290780_SC216_1_barcodes.tsv.gz	04/19/2023 15:52:33	27621	TSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290780/suppl/GSM7290780_SC216_1_barcodes.tsv.gz
GSE231559	File	GSM7290780_SC216_1_features.tsv.gz	04/19/2023 15:52:33	333437	TSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290780/suppl/GSM7290780_SC216_1_features.tsv.gz
GSE231559	File	GSM7290780_SC216_1_matrix.mtx.gz	04/19/2023 15:52:33	32079284	MTX	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290780/suppl/GSM7290780_SC216_1_matrix.mtx.gz
GSE231559	File	GSM7290781_SC216_2_barcodes.tsv.gz	04/19/2023 15:52:33	50818	TSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290781/suppl/GSM7290781_SC216_2_barcodes.tsv.gz
GSE231559	File	GSM7290781_SC216_2_features.tsv.gz	04/19/2023 15:52:33	333437	TSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290781/suppl/GSM7290781_SC216_2_features.tsv.gz
GSE231559	File	GSM7290781_SC216_2_matrix.mtx.gz	04/19/2023 15:52:33	51455339	MTX	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290781/suppl/GSM7290781_SC216_2_matrix.mtx.gz
GSE231559	File	GSM7290782_SC216_3_barcodes.tsv.gz	04/19/2023 15:52:33	42987	TSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290782/suppl/GSM7290782_SC216_3_barcodes.tsv.gz
