cohort	sample_key	sample	sample_type	technology	anchor	target_reaction	target_description	pearson_r	spearman_r	n_spots
SC087	SC087_C03445C6_LM7	LM7	liver_metastasis	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	PYRt2m	pyruvate_transport_to_mitochondria	-0.7124046169266701	-0.7143380822612196	20729
SC087	SC087_C03445C6_LM7	LM7	liver_metastasis	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	PDHm	pyruvate_dehydrogenase_mitochondrial	-0.07853053343071653	-0.038017692173614046	20729
SC087	SC087_C03445C6_LM7	LM7	liver_metastasis	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	LDH_L	lactate_dehydrogenase_l	-1.0	-0.9999999999999999	20729
SC087	SC087_C03445C6_LM7	LM7	liver_metastasis	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	ASPTA	aspartate_transaminase_cytosol	0.7678296886085324	0.7760046668815027	20729
SC087	SC087_C03445C6_LM7	LM7	liver_metastasis	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	ASPTAm	aspartate_transaminase_mitochondria	0.2709274257101478	0.20792250134477958	20729
SC087	SC087_C03445C6_LM7	LM7	liver_metastasis	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	ASPGLUm	aspartate_glutamate_mitochondrial_transport	0.6483532632692216	0.6565916831759135	20729
SC087	SC087_C03445C6_LM7	LM7	liver_metastasis	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	ALATA_L	alanine_transaminase	0.6811261185133117	0.664248194353181	20729
SC087	SC087_C03445C6_LM7	LM7	liver_metastasis	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	GLUN	glutaminase	0.27301966317178133	0.2516371268676549	20729
SC087	SC087_C03445C6_LM7	LM7	liver_metastasis	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	GLUNm	glutaminase_mitochondrial	0.19505507737174027	0.11325016121862269	20729
SC087	SC087_C03445C6_LM7	LM7	liver_metastasis	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	GLUDym	glutamate_dehydrogenase	0.3135066109066157	0.33076572714660113	20729
SC087	SC087_C03445C6_LM7	LM7	liver_metastasis	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	AKGDm	alpha_ketoglutarate_dehydrogenase	-0.38231631070282174	-0.43253213396209644	20729
SC087	SC087_C03445C6_LM7	LM7	liver_metastasis	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	AKGMALtm	akg_malate_transport	-0.16385034485918257	-0.21097125680179699	20729
SC087	SC087_C03445C6_LM7	LM7	liver_metastasis	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	MDHm	malate_dehydrogenase_mitochondrial	0.6306786491857038	0.6431730916005182	20729
SC087	SC087_C03445C6_LM7	LM7	liver_metastasis	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	MDH	malate_dehydrogenase_cytosol	-0.7962359658597294	-0.8035495084578597	20729
SC087	SC087_C03445C6_LM7	LM7	liver_metastasis	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	CSm	citrate_synthase_mitochondrial	0.6673576815140041	0.7136403312415412	20729
SC087	SC087_C03445C6_LM7	LM7	liver_metastasis	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	Biomass	biomass_synthesis	-0.3560920499300173	-0.38166936497230314	20729
SC087	SC087_C03445C6_LM7	LM7	liver_metastasis	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	ATPS4mi	atp_synthase	0.41823995809415254	0.39264735598972966	20729
SC087	SC087_C03445G5_PT	PT	primary	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	PYRt2m	pyruvate_transport_to_mitochondria	-0.11710637418843972	-0.18093697490621916	14956
SC087	SC087_C03445G5_PT	PT	primary	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	PDHm	pyruvate_dehydrogenase_mitochondrial	0.3377362653698444	0.3243429088480794	14956
SC087	SC087_C03445G5_PT	PT	primary	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	LDH_L	lactate_dehydrogenase_l	-0.9999999999999996	-1.0	14956
SC087	SC087_C03445G5_PT	PT	primary	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	ASPTA	aspartate_transaminase_cytosol	0.3144374501577686	0.3657901128196554	14956
SC087	SC087_C03445G5_PT	PT	primary	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	ASPTAm	aspartate_transaminase_mitochondria	0.43404360896676847	0.4148175738429435	14956
SC087	SC087_C03445G5_PT	PT	primary	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	ASPGLUm	aspartate_glutamate_mitochondrial_transport	0.2981927691700396	0.34000683094884526	14956
SC087	SC087_C03445G5_PT	PT	primary	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	ALATA_L	alanine_transaminase	0.6115283557064486	0.5434813259435938	14956
SC087	SC087_C03445G5_PT	PT	primary	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	GLUN	glutaminase	0.12477915779126816	0.1910276176544572	14956
SC087	SC087_C03445G5_PT	PT	primary	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	GLUNm	glutaminase_mitochondrial	0.12706858180658248	0.09739556348659338	14956
SC087	SC087_C03445G5_PT	PT	primary	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	GLUDym	glutamate_dehydrogenase	0.28405208432974927	0.35098161108939124	14956
SC087	SC087_C03445G5_PT	PT	primary	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	AKGDm	alpha_ketoglutarate_dehydrogenase	-0.02089671010659524	-0.07049018372345711	14956
SC087	SC087_C03445G5_PT	PT	primary	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	AKGMALtm	akg_malate_transport	0.08143115890669786	0.008847663308396132	14956
SC087	SC087_C03445G5_PT	PT	primary	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	MDHm	malate_dehydrogenase_mitochondrial	0.4037319582735522	0.3998627694167299	14956
SC087	SC087_C03445G5_PT	PT	primary	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	MDH	malate_dehydrogenase_cytosol	-0.2596766473313686	-0.3474890132815332	14956
SC087	SC087_C03445G5_PT	PT	primary	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	CSm	citrate_synthase_mitochondrial	0.2882017110394198	0.34925199305905585	14956
SC087	SC087_C03445G5_PT	PT	primary	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	Biomass	biomass_synthesis	-0.34920882571108924	-0.15966058691599533	14956
SC087	SC087_C03445G5_PT	PT	primary	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	ATPS4mi	atp_synthase	0.3451030180120908	0.3150211698795026	14956
