sample_id	caf_core	cxcl13_t_cells	hgf_met_axis	macrophage_lipid_candidate	mcam_caf	myc_glycolysis_core	plasticity_emt
TCGA-DM-A1HB-01	-0.337179	-1.645092	-1.160926	-0.778816	-0.476078	1.729905	-0.240392
TCGA-A6-2685-01	0.977656	0.238052	1.387487	1.267213	1.086501	0.037604	0.659400
TCGA-F4-6704-11	-0.118809	0.277228	-0.486255	-0.075022	0.348118	-0.282688	0.301638
TCGA-F4-6856-01	-0.117032	0.035892	-1.175081	-0.457750	-0.138330	-0.082113	-0.697053
TCGA-AA-3492-01	-0.039719	0.168674	-0.347262	0.181211	-0.114157	0.548384	-0.276570
TCGA-G4-6294-01	-0.556543	-0.404448	0.225622	-0.102272	-0.961240	-0.588562	0.006006
TCGA-WS-AB45-01	2.427457	0.451330	-0.669969	1.063045	2.640456	-1.315887	-0.583596
TCGA-CK-5916-01	0.257518	0.813085	1.101144	0.816181	0.030978	0.311545	-0.083400
TCGA-NH-A50V-01	0.578038	0.051505	0.465305	0.428492	0.366117	-0.388722	-0.217970
TCGA-NH-A6GA-01	-0.357060	-0.163338	0.831983	-0.147687	-0.575334	-0.655447	-0.096930
TCGA-F4-6460-01	0.570468	0.235653	0.380171	0.235137	0.830148	-0.603489	0.367355
TCGA-F4-6806-01	0.253641	0.102817	0.039547	-0.296190	0.044314	-0.549577	0.153564
TCGA-G4-6304-01	-1.469440	-0.393480	-1.015715	-0.266297	-1.302873	-0.182243	-0.783834
TCGA-QG-A5YW-01	-0.010213	0.051202	-0.330834	0.129160	0.014522	0.572137	0.142692
TCGA-AD-6965-01	-0.024432	-0.268868	-0.128154	-0.462116	-0.084692	0.573589	0.370908
TCGA-D5-6920-01	-0.068125	0.050063	0.518524	-0.021667	-0.086706	0.760144	0.305856
TCGA-DM-A280-01	0.022837	-1.615280	-0.389135	-0.773101	0.269866	0.967600	-0.109301
TCGA-G4-6297-01	1.291782	0.202041	0.719852	0.753267	1.217513	-0.036194	0.931109
TCGA-G4-6302-01	1.663570	0.461801	0.506054	0.621633	2.328176	-0.405325	0.253493
TCGA-QL-A97D-01	-1.065725	0.547452	0.454985	-0.180269	-1.134121	-0.570015	-0.252312
